key_url;governor;name;percentage;votes;totalVotes;mascVotes;femnVotes
rui-costa;Rui Costa;Cardeal da Silva;93,76%;3966;7294;3650;3643
ze-ronaldo;Zé Ronaldo;Cardeal da Silva;5,37%;2270;7294;3650;3643
marcos-mendes;Marcos Mendes;Cardeal da Silva;0,26%;110;7294;3650;3643
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Cardeal da Silva;0,26%;110;7294;3650;3643
joao-santana;João Santana;Cardeal da Silva;0,19%;80;7294;3650;3643
celia-sacramento;Célia Sacramento;Cardeal da Silva;0,14%;60;7294;3650;3643
orlando-andrade;Orlando Andrade;Cardeal da Silva;0,02%;10;7294;3650;3643
rui-costa;Rui Costa;São Gabriel;93,66%;10286;14537;7351;7186
ze-ronaldo;Zé Ronaldo;São Gabriel;5,32%;5840;14537;7351;7186
marcos-mendes;Marcos Mendes;São Gabriel;0,30%;330;14537;7351;7186
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;São Gabriel;0,28%;310;14537;7351;7186
joao-santana;João Santana;São Gabriel;0,17%;190;14537;7351;7186
celia-sacramento;Célia Sacramento;São Gabriel;0,20%;220;14537;7351;7186
orlando-andrade;Orlando Andrade;São Gabriel;0,06%;70;14537;7351;7186
rui-costa;Rui Costa;Ribeira do Amparo;93,40%;674;11963;5897;6065
ze-ronaldo;Zé Ronaldo;Ribeira do Amparo;5,78%;4170;11963;5897;6065
marcos-mendes;Marcos Mendes;Ribeira do Amparo;0,24%;170;11963;5897;6065
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Ribeira do Amparo;0,22%;160;11963;5897;6065
joao-santana;João Santana;Ribeira do Amparo;0,21%;150;11963;5897;6065
celia-sacramento;Célia Sacramento;Ribeira do Amparo;0,15%;110;11963;5897;6065
orlando-andrade;Orlando Andrade;Ribeira do Amparo;0,00%;0;11963;5897;6065
rui-costa;Rui Costa;Igaporã;93,26%;7205;11652;5894;5755
ze-ronaldo;Zé Ronaldo;Igaporã;5,90%;4560;11652;5894;5755
marcos-mendes;Marcos Mendes;Igaporã;0,16%;120;11652;5894;5755
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Igaporã;0,12%;90;11652;5894;5755
joao-santana;João Santana;Igaporã;0,31%;240;11652;5894;5755
celia-sacramento;Célia Sacramento;Igaporã;0,26%;200;11652;5894;5755
orlando-andrade;Orlando Andrade;Igaporã;0,00%;0;11652;5894;5755
rui-costa;Rui Costa;Bom Jesus da Serra;93,01%;4908;9004;4418;4577
ze-ronaldo;Zé Ronaldo;Bom Jesus da Serra;6,25%;3300;9004;4418;4577
marcos-mendes;Marcos Mendes;Bom Jesus da Serra;0,09%;50;9004;4418;4577
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Bom Jesus da Serra;0,19%;100;9004;4418;4577
joao-santana;João Santana;Bom Jesus da Serra;0,32%;170;9004;4418;4577
celia-sacramento;Célia Sacramento;Bom Jesus da Serra;0,09%;50;9004;4418;4577
orlando-andrade;Orlando Andrade;Bom Jesus da Serra;0,04%;20;9004;4418;4577
rui-costa;Rui Costa;Riacho de Santana;92,94%;13438;23729;11800;11920
ze-ronaldo;Zé Ronaldo;Riacho de Santana;6,27%;9070;23729;11800;11920
marcos-mendes;Marcos Mendes;Riacho de Santana;0,15%;220;23729;11800;11920
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Riacho de Santana;0,30%;440;23729;11800;11920
joao-santana;João Santana;Riacho de Santana;0,21%;300;23729;11800;11920
celia-sacramento;Célia Sacramento;Riacho de Santana;0,09%;130;23729;11800;11920
orlando-andrade;Orlando Andrade;Riacho de Santana;0,03%;50;23729;11800;11920
rui-costa;Rui Costa;Matina;92,85%;5463;8987;4483;4497
ze-ronaldo;Zé Ronaldo;Matina;6,63%;3900;8987;4483;4497
marcos-mendes;Marcos Mendes;Matina;0,07%;40;8987;4483;4497
joao-henrique-durval-carneiro;João Henrique Durval Carneiro;Matina;0,03%;20;8987;4483;4497
joao-santana;João Santana;Matina;0,34%;200;8987;4483;4497
celia-sacramento;Célia Sacramento;Matina;0,07%;40;8987;4483;4497
