name;url_city;totalVotes;mascVotes;femnVotes
Jaguaquara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jaguaquara-ba/;32615;17450;15165
Jaguarari;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jaguarari-ba/;22098;11105;10984
Jaguaripe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jaguaripe-ba/;13039;6594;6442
Jandaíra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jandaira-ba/;8250;4037;4213
Jequié;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jequie-ba/;105277;56610;48667
Jeremoabo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jeremoabo-ba/;26738;13634;13096
Jiquiriçá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jiquirica-ba/;10702;5334;5362
Jitaúna;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jitauna-ba/;11107;5693;5414
João Dourado;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/joao-dourado-ba/;17871;9181;8689
Juazeiro;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/juazeiro-ba/;140481;75413;65068
Jucuruçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jucurucu-ba/;7960;3718;4239
Jussara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jussara-ba/;12144;5886;6237
Jussari;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jussari-ba/;4904;2407;2494
Jussiape;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jussiape-ba/;6675;3433;3237
Lafaiete Coutinho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lafaiete-coutinho-ba/;3532;1741;1791
Lagoa Real;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lagoa-real-ba/;10471;5040;5427
Laje;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/laje-ba/;19038;9696;9340
Lajedão;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lajedao-ba/;4821;2345;2470
Lajedinho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lajedinho-ba/;3235;1565;1668
Lajedo do Tabocal;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lajedo-do-tabocal-ba/;6217;3149;3068
Lamarão;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lamarao-ba/;7887;3954;3932
Lapão;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lapao-ba/;21311;10835;10474
Lauro de Freitas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lauro-de-freitas-ba/;129108;70113;58962
Lençóis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/lencois-ba/;7602;3920;3682
Licínio de Almeida;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/licinio-de-almeida-ba/;9280;4585;4691
Livramento de Nossa Senhora;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/livramento-de-nossa-senhora-ba/;33571;16780;16775
Luís Eduardo Magalhães;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/luis-eduardo-magalhaes-ba/;53094;27386;25708
Macajuba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/macajuba-ba/;9772;4930;4839
Macarani;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/macarani-ba/;13752;6947;6802
Macaúbas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/macaubas-ba/;33800;16994;16799
Macururé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/macurure-ba/;6529;3340;3168
Madre de Deus;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/madre-de-deus-ba/;14496;7732;6764
Maetinga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/maetinga-ba/;6790;3378;3409
Maiquinique;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/maiquinique-ba/;7287;3630;3654
Mairi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mairi-ba/;14362;7510;6848
Malhada;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/malhada-ba/;13034;6342;6674
Malhada de Pedras;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/malhada-de-pedras-ba/;6726;3291;3435
Manoel Vitorino;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/manoel-vitorino-ba/;11619;5885;5734
Mansidão;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mansidao-ba/;9694;4656;5026
Maracás;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/maracas-ba/;21458;11027;10428
Maragogipe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/maragogipe-ba/;32575;16821;15741
Maraú;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/marau-ba/;12936;6156;6780
Marcionílio Souza;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/marcionilio-souza-ba/;7703;3880;3820
Mascote;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mascote-ba/;9028;4543;4483
Mata de São João;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mata-de-sao-joao-ba/;39638;20455;19181
Matina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/matina-ba/;8987;4483;4497
Medeiros Neto;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/medeiros-neto-ba/;18442;9230;9209
Miguel Calmon;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/miguel-calmon-ba/;21540;11128;10410
Milagres;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/milagres-ba/;8656;4531;4124
Mirangaba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mirangaba-ba/;10734;5615;5119
Mirante;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mirante-ba/;7529;3677;3848
Monte Santo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/monte-santo-ba/;43120;21244;21856
Morpará;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/morpara-ba/;7215;3523;3691
Morro do Chapéu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/morro-do-chapeu-ba/;24025;12253;11762
Mortugaba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mortugaba-ba/;9522;4898;4624
Mucugê;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mucuge-ba/;8859;4502;4353
Mucuri;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mucuri-ba/;27885;13966;13904
Mulungu do Morro;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mulungu-do-morro-ba/;10529;5419;5105
Mundo Novo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mundo-novo-ba/;15509;7874;7634
Muniz Ferreira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/muniz-ferreira-ba/;6932;3547;3385
Muquém de S?o Francisco;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/muquem-do-sao-francisco-ba/;8963;4283;4666
Muritiba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/muritiba-ba/;21104;11440;9664
Mutuípe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mutuipe-ba/;18024;9334;8676
Nazaré;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nazare-ba/;21443;11392;10042
Nilo Peçanha;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nilo-pecanha-ba/;8854;4542;4309
Nordestina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nordestina-ba/;10379;5020;5350
Nova Canaã;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-canaa-ba/;12194;6046;6144
Nova Fátima;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-fatima-ba/;7216;3674;3539
Nova Ibiá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-ibia-ba/;5296;2582;2713
Nova Itarana;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-itarana-ba/;5648;2892;2752
Nova Redenção;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-redencao-ba/;6157;3064;3092
Nova Soure;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-soure-ba/;20200;10245;9954
Nova Viçosa;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-vicosa-ba/;29064;14816;14233
Novo Horizonte;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/novo-horizonte-ba/;8107;3998;4109
Novo Triunfo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/novo-triunfo-ba/;8047;4133;3911
Olindina;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/olindina-ba/;20131;10235;9886
Oliveira dos Brejinhos;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/oliveira-dos-brejinhos-ba/;16557;8143;8409
Ouriçangas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ouricangas-ba/;6772;3427;3341
Ourolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ourolandia-ba/;11892;6085;5807
Palmas de Monte Alto;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/palmas-de-monte-alto-ba/;17092;8539;8549
Palmeiras;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/palmeiras-ba/;6669;3394;3273
Paramirim;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/paramirim-ba/;16399;8355;8039
Paratinga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/paratinga-ba/;22639;11271;11345
Paripiranga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/paripiranga-ba/;21769;11499;10270
Pau Brasil;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pau-brasil-ba/;7209;3618;3591
Paulo Afonso;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/paulo-afonso-ba/;81179;43238;37927
Pé de Serra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pe-de-serra-ba/;11247;5740;5505
Pedrão;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pedrao-ba/;5974;2921;3052
Pedro Alexandre;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pedro-alexandre-ba/;9592;4772;4808
Piatã;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/piata-ba/;16459;8545;7913
Pilão Arcado;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pilao-arcado-ba/;25497;12656;12829
Pindaí;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pindai-ba/;12366;6141;6219
Pindobaçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pindobacu-ba/;14745;7463;7281
Pintadas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pintadas-ba/;7919;4066;3853
Piraí do Norte;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pirai-do-norte-ba/;6303;3057;3245
Piripá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/piripa-ba/;9097;4643;4450
Piritiba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/piritiba-ba/;13720;7036;6671
Planaltino;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/planaltino-ba/;6566;3187;3378
Planalto;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/planalto-ba/;18732;9731;9000
Poções;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pocoes-ba/;35794;18795;16980
Pojuca;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/pojuca-ba/;26812;14273;12539
Ponto Novo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ponto-novo-ba/;13184;6578;6597
Porto Seguro;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/porto-seguro-ba/;88317;47490;40827
Potiraguá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/potiragua-ba/;8827;4224;4599
Prado;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/prado-ba/;21414;10866;10530
Presidente Dutra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/presidente-dutra-ba/;10281;5302;4979
Presidente Jânio Quadros;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/presidente-janio-quadros-ba/;11413;5602;5802
Presidente Tancredo Neves;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/presidente-tancredo-neves-ba/;19770;9952;9808
Queimadas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/queimadas-ba/;19836;10020;9811
Quijingue;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/quinjingue-ba/;20709;10102;10600
Quixabeira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/quixabeira-ba/;8098;4050;4046
Rafael Jambeiro;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rafael-jambeiro-ba/;17634;9288;8331
Remanso;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/remanso-ba/;30249;15655;14566
Retirolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/retirolandia-ba/;11819;6051;5768
Riachão das Neves;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/riachao-das-neves-ba/;18445;8997;9438
Riachão do Jacuípe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/riachao-do-jacuipe-ba/;25886;13620;12253
Riacho de Santana;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/riacho-de-santana-ba/;23729;11800;11920
Ribeira do Amparo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ribeira-do-amparo-ba/;11963;5897;6065
Ribeira do Pombal;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ribeira-do-pombal-ba/;37638;19879;17759
Ribeirão do Largo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ribeirao-do-largo-ba/;7560;3675;3885
Rio de Contas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rio-de-contas-ba/;11922;6151;5767
Rio do Antônio;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rio-do-antonio-ba/;11229;5578;5637
Rio do Pires;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rio-do-pires-ba/;10059;5089;4963
Rio Real;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rio-real-ba/;29192;15040;14151
Rodelas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/rodelas-ba/;6447;3324;3123
Ruy Barbosa;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ruy-barbosa-ba/;23789;12527;11249
Salinas da Margarida;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/salinas-da-margarida-ba/;11644;6287;5351
Santa Bárbara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-barbara-ba/;17858;9589;8269
Santa Brígida;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-brigida-ba/;12018;5961;6057
Santa Cruz Cabrália;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-cruz-cabralia-ba/;18037;9525;8512
Santa Cruz da Vitória;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-cruz-da-vitoria-ba/;4659;2261;2397
Santa Inês;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-ines-ba/;8225;4241;3982
Santa Luzia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-luzia-ba/;9109;4431;4668
Santa Maria da Vitória;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-maria-da-vitoria-ba/;29919;15183;14705
Santa Rita de Cássia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-rita-de-cassia-ba/;22499;10938;11542
Santa Teresinha;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santa-terezinha-ba/;8849;4490;4315
Santaluz;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santaluz-ba/;30082;15304;14778
Santana;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santana-ba/;20265;10083;10171
Santanópolis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santanopolis-ba/;8389;4340;4049
Santo Amaro;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santo-amaro-ba/;46527;24779;21734
Santo Antônio de Jesus;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santo-antonio-de-jesus-ba/;67597;37218;30379
Santo Estêv?o;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/santo-estevao-ba/;35723;19447;16276
São Desidério;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-desiderio-ba/;21461;10536;10925
São Domingos;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-domingos-ba/;7303;3759;3544
São Felipe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-felipe-ba/;17016;8747;8269
São Félix;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-felix-ba/;10122;5280;4842
São Félix do Coribe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-felix-do-coribe-ba/;10828;5493;5331
São Francisco do Conde;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-francisco-do-conde-ba/;31167;16865;14302
São Gabriel;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-gabriel-ba/;14537;7351;7186
São Gonçalo dos Campos;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-goncalo-dos-campos-ba/;27915;14817;13096
São José da Vitória;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-jose-da-vitoria-ba/;4511;2271;2240
São José do Jacuípe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-jose-do-jacuipe-ba/;7915;3998;3914
São Miguel das Matas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-miguel-das-matas-ba/;8587;4355;4226
São Sebastião do Passé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sao-sebastiao-do-passe-ba/;33761;17553;16183
Sapeaçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sapeacu-ba/;13896;7485;6411
Sátiro Dias;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/satiro-dias-ba/;13563;6720;6834
Saubara;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/saubara-ba/;11514;6087;5422
Saúde;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/saude-ba/;8789;4478;4311
Seabra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/seabra-ba/;30295;15750;14545
Sebastião Laranjeiras;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sebastiao-laranjeiras-ba/;7005;3472;3531
Senhor do Bonfim;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/senhor-do-bonfim-ba/;48441;26176;22265
Sento Sé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sento-se-ba/;28383;13867;14491
Serra do Ramalho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/serra-do-ramalho-ba/;23309;11650;11645
Serra Dourada;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/serra-dourada-ba/;15058;7383;7664
Serra Preta;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/serra-preta-ba/;16950;8663;8284
Serrinha;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/serrinha-ba/;55769;30172;25597
Serrolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/serrolandia-ba/;9501;4991;4510
Simões Filho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/simoes-filho-ba/;78317;41229;37029
Sítio do Mato;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sitio-do-mato-ba/;9507;4617;4886
Sítio do Quinto;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sitio-do-quinto-ba/;9629;4886;4735
Sobradinho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/sobradinho-ba/;17594;9021;8562
Souto Soares;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/souto-soares-ba/;13003;6495;6503
Tabocas do Brejo Velho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tabocas-do-brejo-velho-ba/;10264;4984;5269
Tanhaçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tanhacu-ba/;16818;8414;8402
Tanque Novo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tanque-novo-ba/;12911;6354;6555
Tanquinho;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tanquinho-ba/;7161;3686;3475
Taperoá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/taperoa-ba/;12663;6526;6136
Tapiramutá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tapiramuta-ba/;11263;5668;5585
Teixeira de Freitas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/teixeira-de-freitas-ba/;104948;55351;49530
Teodoro Sampaio;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/teodoro-sampaio-ba/;6434;3269;3160
Teofilândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/teofilandia-ba/;17154;8726;8423
Teolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/teolandia-ba/;10557;5311;5244
Terra Nova;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/terra-nova-ba/;9859;5118;4737
Tremedal;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tremedal-ba/;16084;8050;8030
Tucano;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/tucano-ba/;36135;18910;17225
Uauá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/uaua-ba/;21072;10750;10311
Ubaíra;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ubaira-ba/;16308;8311;7993
Ubaitaba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ubaitaba-ba/;13887;7442;6445
Ubatã;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/ubata-ba/;11242;6101;5141
Uibaí;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/uibai-ba/;11564;5807;5750
Umburanas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/umburanas-ba/;9744;4828;4916
Una;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/una-ba/;15168;7579;7589
Urandi;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/urandi-ba/;12710;6451;6258
Uruçuca;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/urucuca-ba/;17270;8657;8611
Utinga;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/utinga-ba/;13075;6725;6345
Valença;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/valenca-ba/;60690;32794;27895
Valente;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/valente-ba/;19284;10063;9221
Várzea da Roça;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/varzea-da-roca-ba/;10827;5470;5355
Várzea do Poço;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/varzea-do-poco-ba/;6551;3390;3160
Várzea Nova;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/varzea-nova-ba/;9244;4672;4549
Varzedo;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/varzedo-ba/;7902;4057;3845
Vera Cruz;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/vera-cruz-ba/;29267;15779;13488
Vereda;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/vereda-ba/;6230;2919;3310
Vitória da Conquista;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/vitoria-da-conquista-ba/;221849;120805;101044
Wagner;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/wagner-ba/;7206;3635;3571
Wanderley;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/wanderley-ba/;10198;4927;5268
Wenceslau Guimarães;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/wenceslau-guimaraes-ba/;15576;7737;7837
Xique-Xique;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/xique-xique-ba/;34740;17757;16972
