name;url_city;totalVotes;mascVotes;femnVotes
Boninal;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/boninal-ba/;10434;5420;5012
Bonito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/bonito-ba/;12237;6063;6157
Boquira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/boquira-ba/;16094;8248;7842
Botuporã;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/botupora-ba/;9726;4896;4829
Brejões;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/brejoes-ba/;11047;5581;5463
Brejolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/brejolandia-ba/;7987;3867;4107
Brotas de Macaúbas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/brotas-de-macaubas-ba/;9021;4385;4634
Brumado;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/brumado-ba/;47738;24606;23132
Buerarema;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/buerarema-ba/;12220;6330;5890
Buritirama;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/buritirama-ba/;14953;7179;7761
Caatiba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caatiba-ba/;7910;3866;4040
Cabaceiras do Paraguaçu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cabaceiras-do-paraguacu-ba/;11947;6356;5591
Cachoeira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cachoeira-ba/;25111;13095;12000
Caculé;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cacule-ba/;16778;8581;8194
Caem;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caem-ba/;7322;3872;3450
Caetanos;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caetanos-ba/;9650;4591;5054
Caetité;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caetite-ba/;39487;20287;19196
Cafarnaum;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cafarnaum-ba/;13395;6789;6592
Cairu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cairu-ba/;12534;6581;5953
Caldeir?o Grande;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caldeirao-grande-ba/;9708;4987;4717
Camacan;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/camaca-ba/;17801;9333;8466
Camaçari;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/camacari-ba/;165405;90191;75214
Camamu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/camamu-ba/;24810;12742;12062
Campo Alegre de Lourdes;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/campo-alegre-de-lourdes-ba/;22097;11373;10685
Campo Formoso;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/campo-formoso-ba/;52924;26937;25976
Canápolis;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/canapolis-ba/;8340;4101;4232
Canarana;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/canarana-ba/;18136;9263;8868
Canavieiras;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/canavieiras-ba/;23053;12003;11050
Candeal;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/candeal-ba/;7212;3680;3528
Candeias;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/candeias-ba/;62371;32917;29445
Candiba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/candiba-ba/;10415;5241;5174
Cândido Sales;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/candido-sales-ba/;18046;9565;8481
Cansanção;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cansancao-ba/;27044;13616;13414
Canudos;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/canudos-ba/;12341;6204;6132
Capela do Alto Alegre;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/capela-do-alto-alegre-ba/;9269;4663;4592
Capim Grosso;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/capim-grosso-ba/;22621;11945;10650
Caraíbas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caraibas-ba/;8358;4073;4281
Caravelas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caravelas-ba/;13942;7036;6896
Cardeal da Silva;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cardeal-da-silva-ba/;7294;3650;3643
Carinhanha;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/carinhanha-ba/;21566;10736;10815
Casa Nova;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/casa-nova-ba/;51739;25877;25861
Castro Alves;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/castro-alves-ba/;22336;11590;10730
Catolândia;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/catolandia-ba/;3510;1641;1869
Catu;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/catu-ba/;40272;21133;19126
Caturama;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/caturama-ba/;7573;3694;3875
Central;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/central-ba/;13145;6610;6526
Chorrochó;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/chorrocho-ba/;8944;4474;4461
Cícero Dantas;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cicero-dantas-ba/;25291;13219;12068
Cipó;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cipo-ba/;13354;7204;6146
Coaraci;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/coaraci-ba/;16754;8669;8083
Cocos;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cocos-ba/;14603;7114;7489
Conceição da Feira;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/conceicao-da-feira-ba/;16648;8760;7887
Conceição do Almeida;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/conceicao-do-almeida-ba/;14381;7421;6960
Conceição do Coité;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/conceicao-do-coite-ba/;50870;26539;24327
Conceição do Jacuípe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/conceicao-do-jacuipe-ba/;23825;12750;11075
Conde;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/conde-ba/;17300;8851;8448
Condeúba;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/condeuba-ba/;15360;7791;7566
Contendas do Sincorá;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/contendas-do-sincora-ba/;3793;1881;1910
Coração de Maria;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/coracao-de-maria-ba/;20971;10974;9992
Cordeiros;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/cordeiros-ba/;6985;3576;3408
Coribe;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/coribe-ba/;11782;5773;6009
