url_source_gov;governor;url_the_city;name;percentage;votes
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/mulungu-do-morro-ba/governador/;Mulungu do Morro;92,19%;6.290
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/boa-nova-ba/governador/;Boa Nova;92,13%;6.278
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/manoel-vitorino-ba/governador/;Manoel Vitorino;92,02%;7.745
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/itanagra-ba/governador/;Itanagra;91,96%;3.409
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gentio-do-ouro-ba/governador/;Gentio do Ouro;91,90%;5.730
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/guajeru-ba/governador/;Guajeru;91,87%;3.605
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jussara-ba/governador/;Jussara;91,84%;7.404
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/nova-redencao-ba/governador/;Nova Redenção;91,84%;3.647
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/salinas-da-margarida-ba/governador/;Salinas da Margarida;91,75%;7.766
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/malhada-ba/governador/;Malhada;91,71%;7.709
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/gongogi-ba/governador/;Gongogi;91,69%;2.725
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/presidente-dutra-ba/governador/;Presidente Dutra;91,67%;7.123
https://especiais.gazetadopovo.com.br/eleicoes/2018/candidatos/ba/governador/rui-costa/;Rui Costa Eleito;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/jacaraci-ba/governador/;Jacaraci;91,60%;6.503
