"Local", "undefined"
"Manoel Vitorino", 0.566
"Mansidão", 0.599
"Maracás", 0.607
"Maragogipe", 0.621
"Maraú", 0.593
"Marcionílio Souza", 0.561
"Mascote", 0.581
"Mata de São João", 0.668
"Matina", 0.572
"Medeiros Neto", 0.625
"Miguel Calmon", 0.586
"Milagres", 0.622
"Mirangaba", 0.542
"Mirante", 0.527
"Monte Santo", 0.506
"Morpará", 0.558
"Morro do Chapéu", 0.588
"Mortugaba", 0.618
"Mucugê", 0.606
"Mucuri", 0.665
"Mulungu do Morro", 0.566
"Mundo Novo", 0.590
"Muniz Ferreira", 0.617
"Muquém do São Francisco", 0.549
"Muritiba", 0.660
"Mutuípe", 0.601
"Nazaré", 0.641
"Nilo Peçanha", 0.547
"Nordestina", 0.560
"Nova Canaã", 0.545
"Nova Fátima", 0.597
"Nova Ibiá", 0.570
"Nova Itarana", 0.524
"Nova Redenção", 0.567
"Nova Soure", 0.555
"Nova Viçosa", 0.654
"Novo Horizonte", 0.597
"Novo Triunfo", 0.554
"Olindina", 0.559
"Oliveira dos Brejinhos", 0.554
"Ouriçangas", 0.607
"Ourolândia", 0.560
"Palmas de Monte Alto", 0.586
"Palmeiras", 0.643
"Paramirim", 0.615
"Paratinga", 0.590
"Paripiranga", 0.577
"Pau Brasil", 0.583
"Paulo Afonso", 0.674
"Pé de Serra", 0.587
"Pedrão", 0.588
"Pedro Alexandre", 0.513
"Piatã", 0.571
"Pilão Arcado", 0.506
"Pindaí", 0.603
"Pindobaçu", 0.577
"Pintadas", 0.612
"Piraí do Norte", 0.533
"Piripá", 0.575
"Piritiba", 0.578
"Planaltino", 0.572
"Planalto", 0.560
"Poções", 0.604
"Pojuca", 0.666
"Ponto Novo", 0.580
"Porto Seguro", 0.676
"Potiraguá", 0.625
"Prado", 0.621
"Presidente Dutra", 0.614
"Presidente Jânio Quadros", 0.542
"Presidente Tancredo Neves", 0.559
"Queimadas", 0.592
"Quijingue", 0.544
"Quixabeira", 0.578
"Rafael Jambeiro", 0.564
"Remanso", 0.579
"Retirolândia", 0.636
"Riachão das Neves", 0.578
"Riachão do Jacuípe", 0.628
"Riacho de Santana", 0.615
"Ribeira do Amparo", 0.512
"Ribeira do Pombal", 0.601
"Ribeirão do Largo", 0.540
"Rio de Contas", 0.605
"Rio do Antônio", 0.576
"Rio do Pires", 0.594
"Rio Real", 0.572
"Rodelas", 0.632
"Ruy Barbosa", 0.610
"Salinas da Margarida", 0.617
"Salvador", 0.759
"Santa Bárbara", 0.583
"Santa Brígida", 0.546
"Santa Cruz Cabrália", 0.654
"Santa Cruz da Vitória", 0.610
"Santa Inês", 0.574
"Santaluz", 0.598
"Santa Luzia", 0.556
"Santa Maria da Vitória", 0.614
"Santana", 0.608
"Santanópolis", 0.592
"Santa Rita de Cássia", 0.605
"Santa Terezinha", 0.587
"Santo Amaro", 0.646
"Santo Antônio de Jesus", 0.700
"Santo Estêvão", 0.626
"São Desidério", 0.579
"São Domingos", 0.640
"São Félix", 0.639
"São Félix do Coribe", 0.639
"São Felipe", 0.616
"São Francisco do Conde", 0.674
"São Gabriel", 0.592
"São Gonçalo dos Campos", 0.627
"São José da Vitória", 0.546
"São José do Jacuípe", 0.552
"São Miguel das Matas", 0.593
"São Sebastião do Passé", 0.657
"Sapeaçu", 0.614
"Sátiro Dias", 0.527
"Saubara", 0.617
"Saúde", 0.549
"Seabra", 0.635
"Sebastião Laranjeiras", 0.615
"Senhor do Bonfim", 0.666
"Serra do Ramalho", 0.595
"Sento Sé", 0.585
"Serra Dourada", 0.608
"Serra Preta", 0.566
"Serrinha", 0.634
"Serrolândia", 0.590
"Simões Filho", 0.675
"Sítio do Mato", 0.564
"Sítio do Quinto", 0.533
"Sobradinho", 0.631
"Souto Soares", 0.592
"Tabocas do Brejo Velho", 0.584
"Tanhaçu", 0.577
"Tanque Novo", 0.599
"Tanquinho", 0.597
"Taperoá", 0.566
"Tapiramutá", 0.594
"Teixeira de Freitas", 0.685
"Teodoro Sampaio", 0.594
"Teofilândia", 0.566
"Teolândia", 0.555
"Terra Nova", 0.578
"Tremedal", 0.528
"Tucano", 0.579
"Uauá", 0.605
"Ubaíra", 0.582
"Ubaitaba", 0.611
"Ubatã", 0.593
"Uibaí", 0.617
"Umburanas", 0.515
"Una", 0.560
"Urandi", 0.598
"Uruçuca", 0.616
"Utinga", 0.590
"Valença", 0.623
"Valente", 0.637
"Várzea da Roça", 0.539
"Várzea do Poço", 0.575
"Várzea Nova", 0.555
"Varzedo", 0.586
"Vera Cruz", 0.645
"Vereda", 0.577
"Vitória da Conquista", 0.678
"Wagner", 0.587
"Wanderley", 0.600
"Wenceslau Guimarães", 0.544
"Xique-Xique", 0.585
