"Local", "PIB per capita"
"Lamarão", 6752.34
"Lapão", 9293.65
"Lauro de Freitas", 33038.18
"Lençóis", 11327.63
"Licínio de Almeida", 9395.69
"Livramento de Nossa Senhora", 11033.62
"Luís Eduardo Magalhães", 69761.10
"Macajuba", 6851.32
"Macarani", 9521.49
"Macaúbas", 7813.14
"Macururé", 6881.81
"Madre de Deus", 24354.77
"Maetinga", 14662.80
"Maiquinique", 10920.95
"Mairi", 6914.61
"Malhada", 9090.18
"Malhada de Pedras", 8009.40
"Manoel Vitorino", 10897.18
"Mansidão", 6348.54
"Maracás", 21363.92
"Maragogipe", 7237.43
"Maraú", 12155.80
"Marcionílio Souza", 7749.95
"Mascote", 9809.81
"Mata de São João", 25252.05
"Matina", 6383.70
"Medeiros Neto", 14098.96
"Miguel Calmon", 8860.50
"Milagres", 10011.93
"Mirangaba", 6914.16
"Mirante", 7356.20
"Monte Santo", 7987.49
"Morpará", 7901.34
"Morro do Chapéu", 9649.79
"Mortugaba", 8099.40
"Mucugê", 48367.51
"Mucuri", 42765.12
"Mulungu do Morro", 9251.86
"Mundo Novo", 6389.81
"Muniz Ferreira", 7446.89
"Muquém do São Francisco", 15976.28
"Muritiba", 9247.08
"Mutuípe", 15888.52
"Nazaré", 9607.12
"Nilo Peçanha", 9997.90
"Nordestina", 12151.70
"Nova Canaã", 8421.14
"Nova Fátima", 11118.12
"Nova Ibiá", 12813.76
"Nova Itarana", 6839.09
"Nova Redenção", 7005.73
"Nova Soure", 8284.18
"Nova Viçosa", 11507.69
"Novo Horizonte", 6892.03
"Novo Triunfo", 5386.54
"Olindina", 7359.84
"Oliveira dos Brejinhos", 8124.53
"Ouriçangas", 7034.03
"Ourolândia", 10741.51
"Palmas de Monte Alto", 8323.61
"Palmeiras", 9144.37
"Paramirim", 11024.83
"Paratinga", 7248.71
"Paripiranga", 12036.80
"Pau Brasil", 8938.41
"Paulo Afonso", 31312.64
"Pé de Serra", 7775.63
"Pedrão", 5975.48
"Pedro Alexandre", 6140.58
"Piatã", 7851.06
"Pilão Arcado", 7642.72
"Pindaí", 13287.74
"Pindobaçu", 7436.92
"Pintadas", 8570.20
"Piraí do Norte", 9367.37
"Piripá", 6771.18
"Piritiba", 6391.40
"Planaltino", 7240.12
"Planalto", 9342.29
"Poções", 10668.85
"Pojuca", 26317.43
"Ponto Novo", 7692.78
"Porto Seguro", 22727.56
"Potiraguá", 12498.39
"Prado", 15495.87
"Presidente Dutra", 7194.49
"Presidente Jânio Quadros", 7111.86
"Presidente Tancredo Neves", 9664.76
"Queimadas", 8998.42
"Quijingue", 8852.45
"Quixabeira", 7278.11
"Rafael Jambeiro", 15839.53
"Remanso", 9665.15
"Retirolândia", 8705.92
"Riachão das Neves", 34938.38
"Riachão do Jacuípe", 10720.56
"Riacho de Santana", 7558.26
"Ribeira do Amparo", 8812.74
"Ribeira do Pombal", 11068.15
"Ribeirão do Largo", 13586.48
"Rio de Contas", 9967.44
"Rio do Antônio", 6920.37
"Rio do Pires", 7516.76
"Rio Real", 22645.77
"Rodelas", 10436.49
"Ruy Barbosa", 9886.85
"Salinas da Margarida", 10901.76
"Salvador", 22213.24
"Santa Bárbara", 8046.02
"Santa Brígida", 7321.26
"Santa Cruz Cabrália", 15484.19
"Santa Cruz da Vitória", 9361.57
"Santa Inês", 6562.49
"Santaluz", 10399.93
"Santa Luzia", 7876.34
"Santa Maria da Vitória", 12110.47
"Santana", 9706.10
"Santanópolis", 6674.38
"Santa Rita de Cássia", 8513.11
"Santa Terezinha", 6816.32
"Santo Amaro", 14024.36
"Santo Antônio de Jesus", 21863.76
"Santo Estêvão", 13942.59
"São Desidério", 76949.79
"São Domingos", 8936.13
"São Félix", 11557.09
"São Félix do Coribe", 12645.62
"São Felipe", 9400.34
"São Francisco do Conde", 210629.40
"São Gabriel", 6718.22
"São Gonçalo dos Campos", 26290.04
"São José da Vitória", 9382.71
"São José do Jacuípe", 8489.80
"São Miguel das Matas", 11606.58
"São Sebastião do Passé", 15605.20
"Sapeaçu", 9590.43
"Sátiro Dias", 10387.25
"Saubara", 11243.84
"Saúde", 6904.65
"Seabra", 12448.76
"Sebastião Laranjeiras", 7615.40
"Senhor do Bonfim", 11399.16
"Serra do Ramalho", 9807.25
"Sento Sé", 23542.89
"Serra Dourada", 9216.44
"Serra Preta", 7641.07
"Serrinha", 11362.74
"Serrolândia", 7405.01
"Simões Filho", 40637.42
"Sítio do Mato", 8022.59
"Sítio do Quinto", 8196.81
"Sobradinho", 32609.65
"Souto Soares", 7408.33
"Tabocas do Brejo Velho", 8308.88
"Tanhaçu", 9465.46
"Tanque Novo", 9529.31
"Tanquinho", 7219.55
"Taperoá", 8471.96
"Tapiramutá", 6553.06
"Teixeira de Freitas", 16541.88
"Teodoro Sampaio", 10697.76
"Teofilândia", 6755.57
"Teolândia", 12210.42
"Terra Nova", 8997.41
"Tremedal", 7573.75
"Tucano", 9553.34
"Uauá", 8466.19
"Ubaíra", 9908.27
"Ubaitaba", 11548.41
"Ubatã", 7467.50
"Uibaí", 6956.99
"Umburanas", 7495.97
"Una", 14140.26
"Urandi", 10984.02
"Uruçuca", 11510.01
"Utinga", 8806.37
"Valença", 16346.46
"Valente", 8042.92
"Várzea da Roça", 6773.46
"Várzea do Poço", 9977.74
"Várzea Nova", 9112.58
"Varzedo", 12034.31
"Vera Cruz", 12196.73
"Vereda", 11995.54
"Vitória da Conquista", 21459.85
"Wagner", 8061.28
"Wanderley", 10822.58
"Wenceslau Guimarães", 12751.96
"Xique-Xique", 8843.15
