"Local", "undefined"
"Lajedo do Tabocal", 69708.28
"Lamarão", 56091.69
"Lapão", 253001.07
"Lauro de Freitas", 6556097.01
"Lençóis", 129236.88
"Licínio de Almeida", 116393.80
"Livramento de Nossa Senhora", 504589.49
"Luís Eduardo Magalhães", 6105421.88
"Macajuba", 77748.79
"Macarani", 178575.62
"Macaúbas", 389297.57
"Macururé", 53843.28
"Madre de Deus", 513715.26
"Maetinga", 46349.11
"Maiquinique", 110432.63
"Mairi", 129137.19
"Malhada", 153124.07
"Malhada de Pedras", 67222.91
"Manoel Vitorino", 144278.65
"Mansidão", 86613.16
"Maracás", 445095.91
"Maragogipe", 323346.67
"Maraú", 250044.83
"Marcionílio Souza", 80645.95
"Mascote", 135591.22
"Mata de São João", 1176316.24
"Matina", 77887.54
"Medeiros Neto", 319877.24
"Miguel Calmon", 230576.78
"Milagres", 109630.58
"Mirangaba", 126791.93
"Mirante", 63564.89
"Monte Santo", 394725.90
"Morpará", 67311.53
"Morro do Chapéu", 341727.92
"Mortugaba", 97533.00
"Mucugê", 438306.41
"Mucuri", 1785358.42
"Mulungu do Morro", 100743.49
"Mundo Novo", 171093.60
"Muniz Ferreira", 55270.84
"Muquém do São Francisco", 181298.78
"Muritiba", 271854.98
"Mutuípe", 353058.77
"Nazaré", 274043.02
"Nilo Peçanha", 139940.65
"Nordestina", 159551.81
"Nova Canaã", 138628.86
"Nova Fátima", 86854.78
"Nova Ibiá", 84455.52
"Nova Itarana", 56258.37
"Nova Redenção", 63878.23
"Nova Soure", 223233.83
"Nova Viçosa", 499157.39
"Novo Horizonte", 85357.78
"Novo Triunfo", 83168.16
"Olindina", 207760.99
"Oliveira dos Brejinhos", 177317.91
"Ouriçangas", 60239.42
"Ourolândia", 187450.05
"Palmas de Monte Alto", 181038.57
"Palmeiras", 82473.08
"Paramirim", 238213.54
"Paratinga", 231958.59
"Paripiranga", 348934.75
"Pau Brasil", 87873.52
"Paulo Afonso", 3688065.29
"Pé de Serra", 105577.57
"Pedrão", 43901.83
"Pedro Alexandre", 102345.07
"Piatã", 134433.68
"Pilão Arcado", 267862.05
"Pindaí", 216058.58
"Pindobaçu", 149854.00
"Pintadas", 89447.14
"Piraí do Norte", 93889.19
"Piripá", 72498.99
"Piritiba", 158219.04
"Planaltino", 67492.36
"Planalto", 245375.35
"Poções", 500059.66
"Pojuca", 1040038.40
"Ponto Novo", 114730.17
"Porto Seguro", 3379269.88
"Potiraguá", 90288.36
"Prado", 436580.69
"Presidente Dutra", 108938.99
"Presidente Jânio Quadros", 87746.17
"Presidente Tancredo Neves", 267897.62
"Queimadas", 228910.84
"Quijingue", 244150.67
"Quixabeira", 65299.25
"Rafael Jambeiro", 358305.94
"Remanso", 396348.67
"Retirolândia", 125330.36
"Riachão das Neves", 780488.56
"Riachão do Jacuípe", 358452.72
"Riacho de Santana", 267721.14
"Ribeira do Amparo", 128595.48
"Ribeira do Pombal", 595543.84
"Ribeirão do Largo", 78964.62
"Rio de Contas", 129467.09
"Rio do Antônio", 106372.96
"Rio do Pires", 87607.88
"Rio Real", 922407.40
"Rodelas", 97382.86
"Ruy Barbosa", 304653.52
"Salinas da Margarida", 170797.91
"Salvador", 63804120.23
"Santa Bárbara", 167284.89
"Santa Brígida", 104057.00
"Santa Cruz Cabrália", 430119.94
"Santa Cruz da Vitória", 59118.32
"Santa Inês", 69765.78
"Santaluz", 388416.72
"Santa Luzia", 99218.20
"Santa Maria da Vitória", 482541.69
"Santana", 258318.01
"Santanópolis", 59689.02
"Santa Rita de Cássia", 241244.55
"Santa Terezinha", 70923.83
"Santo Amaro", 842429.36
"Santo Antônio de Jesus", 2219433.78
"Santo Estêvão", 736865.71
"São Desidério", 2596439.97
"São Domingos", 80943.49
"São Félix", 170351.47
"São Félix do Coribe", 194628.75
"São Felipe", 198102.74
"São Francisco do Conde", 8383471.46
"São Gabriel", 126255.46
"São Gonçalo dos Campos", 987191.18
"São José da Vitória", 53077.99
"São José do Jacuípe", 88820.27
"São Miguel das Matas", 135506.86
"São Sebastião do Passé", 691310.42
"Sapeaçu", 166854.35
"Sátiro Dias", 179418.94
"Saubara", 135409.53
"Saúde", 89159.79
"Seabra", 548878.06
"Sebastião Laranjeiras", 87074.45
"Senhor do Bonfim", 900704.29
"Serra do Ramalho", 308653.85
"Sento Sé", 957819.07
"Serra Dourada", 160236.99
"Serra Preta", 113683.83
"Serrinha", 918802.82
"Serrolândia", 99204.97
"Simões Filho", 5460734.54
"Sítio do Mato", 104389.92
"Sítio do Quinto", 81853.39
"Sobradinho", 756250.45
"Souto Soares", 125786.09
"Tabocas do Brejo Velho", 104010.51
"Tanhaçu", 193123.71
"Tanque Novo", 165485.98
"Tanquinho", 57164.40
"Taperoá", 178538.11
"Tapiramutá", 111467.48
"Teixeira de Freitas", 2654756.92
"Teodoro Sampaio", 79430.84
"Teofilândia", 152121.86
"Teolândia", 182460.34
"Terra Nova", 117263.24
"Tremedal", 124164.14
"Tucano", 484229.94
"Uauá", 205220.40
"Ubaíra", 197125.06
"Ubaitaba", 220066.42
"Ubatã", 201883.93
"Uibaí", 96611.75
"Umburanas", 144087.56
"Una", 268693.30
"Urandi", 182971.85
"Uruçuca", 236173.99
"Utinga", 168888.59
"Valença", 1578446.90
"Valente", 229006.03
"Várzea da Roça", 95532.93
"Várzea do Poço", 91495.86
"Várzea Nova", 115702.42
"Varzedo", 106359.26
"Vera Cruz", 527179.45
"Vereda", 74432.35
"Vitória da Conquista", 7263728.66
"Wagner", 75332.69
"Wanderley", 132446.77
"Wenceslau Guimarães", 269079.07
"Xique-Xique", 411056.07
