"Local", "Salário médio mensal dos trabalhadores formais"
"Malhada de Pedras", 1.7
"Manoel Vitorino", 2.3
"Mansidão", 2.1
"Maracás", 1.9
"Maragogipe", 2.1
"Maraú", 1.7
"Marcionílio Souza", 2.1
"Mascote", 1.6
"Mata de São João", 2.1
"Matina", 1.8
"Medeiros Neto", 1.7
"Miguel Calmon", 1.8
"Milagres", 1.6
"Mirangaba", 1.8
"Mirante", 1.7
"Monte Santo", 2.1
"Morpará", 1.7
"Morro do Chapéu", 2.0
"Mortugaba", 1.4
"Mucugê", 1.7
"Mucuri", 3.2
"Mulungu do Morro", 1.8
"Mundo Novo", 2.1
"Muniz Ferreira", 1.4
"Muquém do São Francisco", 2.3
"Muritiba", 1.6
"Mutuípe", 1.9
"Nazaré", 1.7
"Nilo Peçanha", 1.9
"Nordestina", 2.8
"Nova Canaã", 1.9
"Nova Fátima", 1.7
"Nova Ibiá", 2.0
"Nova Itarana", 1.4
"Nova Redenção", 1.5
"Nova Soure", 1.9
"Nova Viçosa", 1.7
"Novo Horizonte", 1.4
"Novo Triunfo", 1.8
"Olindina", 1.8
"Oliveira dos Brejinhos", 1.9
"Ouriçangas", 2.3
"Ourolândia", 2.2
"Palmas de Monte Alto", 1.9
"Palmeiras", 1.9
"Paramirim", 1.9
"Paratinga", 2.1
"Paripiranga", 2.0
"Pau Brasil", 1.9
"Paulo Afonso", 2.1
"Pé de Serra", 2.0
"Pedrão", 1.5
"Pedro Alexandre", 1.7
"Piatã", 2.1
"Pilão Arcado", 1.7
"Pindaí", 2.2
"Pindobaçu", 1.7
"Pintadas", 1.8
"Piraí do Norte", 1.7
"Piripá", 1.4
"Piritiba", 2.0
"Planaltino", 1.6
"Planalto", 1.8
"Poções", 1.9
"Pojuca", 2.7
"Ponto Novo", 1.7
"Porto Seguro", 1.9
"Potiraguá", 1.5
"Prado", 1.8
"Presidente Dutra", 1.4
"Presidente Jânio Quadros", 1.7
"Presidente Tancredo Neves", 2.0
"Queimadas", 2.4
"Quijingue", 2.5
"Quixabeira", 1.6
"Rafael Jambeiro", 1.9
"Remanso", 1.8
"Retirolândia", 1.4
"Riachão das Neves", 2.1
"Riachão do Jacuípe", 1.8
"Riacho de Santana", 1.8
"Ribeira do Amparo", 1.7
"Ribeira do Pombal", 1.8
"Ribeirão do Largo", 1.5
"Rio de Contas", 1.5
"Rio do Antônio", 1.8
"Rio do Pires", 1.6
"Rio Real", 1.8
"Rodelas", 1.6
"Ruy Barbosa", 1.5
"Salinas da Margarida", 1.7
"Salvador", 3.4
"Santa Bárbara", 1.6
"Santa Brígida", 1.5
"Santa Cruz Cabrália", 1.8
"Santa Cruz da Vitória", 1.7
"Santa Inês", 1.8
"Santaluz", 1.9
"Santa Luzia", 1.6
"Santa Maria da Vitória", 1.9
"Santana", 1.7
"Santanópolis", 1.9
"Santa Rita de Cássia", 2.1
"Santa Terezinha", 1.6
"Santo Amaro", 1.9
"Santo Antônio de Jesus", 1.7
"Santo Estêvão", 1.6
"São Desidério", 2.4
"São Domingos", 1.6
"São Félix", 1.4
"São Félix do Coribe", 1.8
"São Felipe", 1.7
"São Francisco do Conde", 5.2
"São Gabriel", 1.8
"São Gonçalo dos Campos", 1.9
"São José da Vitória", 1.4
"São José do Jacuípe", 1.7
"São Miguel das Matas", 1.4
"São Sebastião do Passé", 3.0
"Sapeaçu", 1.5
"Sátiro Dias", 1.8
"Saubara", 1.4
"Saúde", 1.6
"Seabra", 1.9
"Sebastião Laranjeiras", 1.7
"Senhor do Bonfim", 1.8
"Serra do Ramalho", 1.8
"Sento Sé", 2.1
"Serra Dourada", 1.5
"Serra Preta", 1.4
"Serrinha", 1.6
"Serrolândia", 1.6
"Simões Filho", 2.2
"Sítio do Mato", 1.4
"Sítio do Quinto", 1.7
"Sobradinho", 2.1
"Souto Soares", 2.5
"Tabocas do Brejo Velho", 1.4
"Tanhaçu", 1.6
"Tanque Novo", 2.0
"Tanquinho", 1.7
"Taperoá", 2.2
"Tapiramutá", 1.8
"Teixeira de Freitas", 1.9
"Teodoro Sampaio", 1.7
"Teofilândia", 1.9
"Teolândia", 2.0
"Terra Nova", 1.6
"Tremedal", 2.1
"Tucano", 2.0
"Uauá", 2.1
"Ubaíra", 1.7
"Ubaitaba", 1.8
"Ubatã", 1.4
"Uibaí", 1.8
"Umburanas", 1.6
"Una", 1.9
"Urandi", 1.8
"Uruçuca", 2.0
"Utinga", 1.5
"Valença", 1.7
"Valente", 1.4
"Várzea da Roça", 1.8
"Várzea do Poço", 1.6
"Várzea Nova", 1.9
"Varzedo", 2.0
"Vera Cruz", 1.7
"Vereda", 1.7
"Vitória da Conquista", 2.0
"Wagner", 1.5
"Wanderley", 1.8
"Wenceslau Guimarães", 1.9
"Xique-Xique", 1.9
