"Local", "População no último censo"
"Mundo Novo", 24395
"Muniz Ferreira", 7317
"Muquém do São Francisco", 10272
"Muritiba", 28899
"Mutuípe", 21449
"Nazaré", 27274
"Nilo Peçanha", 12530
"Nordestina", 12371
"Nova Canaã", 16713
"Nova Fátima", 7602
"Nova Ibiá", 6648
"Nova Itarana", 7435
"Nova Redenção", 8034
"Nova Soure", 24136
"Nova Viçosa", 38556
"Novo Horizonte", 10673
"Novo Triunfo", 15051
"Olindina", 24943
"Oliveira dos Brejinhos", 21831
"Ouriçangas", 8298
"Ourolândia", 16425
"Palmas de Monte Alto", 20775
"Palmeiras", 8410
"Paramirim", 21001
"Paratinga", 29504
"Paripiranga", 27778
"Pau Brasil", 10852
"Paulo Afonso", 108396
"Pé de Serra", 13752
"Pedrão", 6876
"Pedro Alexandre", 16995
"Piatã", 17982
"Pilão Arcado", 32860
"Pindaí", 15628
"Pindobaçu", 20121
"Pintadas", 10342
"Piraí do Norte", 9799
"Piripá", 12783
"Piritiba", 22399
"Planaltino", 8822
"Planalto", 24481
"Poções", 44701
"Pojuca", 33066
"Ponto Novo", 15742
"Porto Seguro", 126929
"Potiraguá", 9810
"Prado", 27627
"Presidente Dutra", 13750
"Presidente Jânio Quadros", 13652
"Presidente Tancredo Neves", 23846
"Queimadas", 24602
"Quijingue", 27228
"Quixabeira", 9554
"Rafael Jambeiro", 22874
"Remanso", 38957
"Retirolândia", 12055
"Riachão das Neves", 21937
"Riachão do Jacuípe", 33172
"Riacho de Santana", 30646
"Ribeira do Amparo", 14276
"Ribeira do Pombal", 47518
"Ribeirão do Largo", 8602
"Rio de Contas", 13007
"Rio do Antônio", 14815
"Rio do Pires", 11918
"Rio Real", 37164
"Rodelas", 7775
"Ruy Barbosa", 29887
"Salinas da Margarida", 13456
"Salvador", 2675656
"Santa Bárbara", 19064
"Santa Brígida", 15060
"Santa Cruz Cabrália", 26264
"Santa Cruz da Vitória", 6673
"Santa Inês", 10363
"Santaluz", 33838
"Santa Luzia", 13344
"Santa Maria da Vitória", 40309
"Santana", 24750
"Santanópolis", 8776
"Santa Rita de Cássia", 26250
"Santa Terezinha", 9648
"Santo Amaro", 57800
"Santo Antônio de Jesus", 90985
"Santo Estêvão", 47880
"São Desidério", 27659
"São Domingos", 9226
"São Félix", 14098
"São Félix do Coribe", 13048
"São Felipe", 20305
"São Francisco do Conde", 33183
"São Gabriel", 18427
"São Gonçalo dos Campos", 33283
"São José da Vitória", 5715
"São José do Jacuípe", 10180
"São Miguel das Matas", 10414
"São Sebastião do Passé", 42153
"Sapeaçu", 16585
"Sátiro Dias", 18964
"Saubara", 11201
"Saúde", 11845
"Seabra", 41798
"Sebastião Laranjeiras", 10371
"Senhor do Bonfim", 74419
"Serra do Ramalho", 31638
"Sento Sé", 37425
"Serra Dourada", 18112
"Serra Preta", 15401
"Serrinha", 76762
"Serrolândia", 12344
"Simões Filho", 118047
"Sítio do Mato", 12050
"Sítio do Quinto", 12592
"Sobradinho", 22000
"Souto Soares", 15899
"Tabocas do Brejo Velho", 11431
"Tanhaçu", 20013
"Tanque Novo", 16128
"Tanquinho", 8008
"Taperoá", 18748
"Tapiramutá", 16516
"Teixeira de Freitas", 138341
"Teodoro Sampaio", 7895
"Teofilândia", 21482
"Teolândia", 14836
"Terra Nova", 12803
"Tremedal", 17029
"Tucano", 52418
"Uauá", 24294
"Ubaíra", 19750
"Ubaitaba", 20691
"Ubatã", 25004
"Uibaí", 13625
"Umburanas", 17000
"Una", 24110
"Urandi", 16466
"Uruçuca", 19837
"Utinga", 18173
"Valença", 88673
"Valente", 24560
"Várzea da Roça", 13786
"Várzea do Poço", 8661
"Várzea Nova", 13073
"Varzedo", 9109
"Vera Cruz", 37567
"Vereda", 6800
"Vitória da Conquista", 306866
"Wagner", 8983
"Wanderley", 12485
"Wenceslau Guimarães", 22189
"Xique-Xique", 45536
